City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,lushun,38.8,121.2667,70.02,65,99,15.35,CN,1696280145
116,minas de marcona,-15.2119,-75.1103,64.44,66,35,16.62,PE,1696280146
117,port lincoln,-34.7333,135.8667,54.12,79,63,10.92,AU,1696280147
118,fort bragg,35.139,-79.006,84.34,45,20,11.5,US,1696279652
119,carire,-3.9506,-40.4733,91.99,34,100,11.23,BR,1696280149
120,tsiombe,-25.3,45.4833,65.61,62,99,12.26,MG,1696280150
121,chonchi,-42.6128,-73.8092,52.12,83,100,1.28,CL,1696280150
122,cinarli,41.4723,46.9156,55.56,68,99,3.02,AZ,1696280151
123,port saint john's,-31.6229,29.5448,63.99,77,0,13.87,ZA,1696280152
124,okhotsk,59.3833,143.3,43.12,77,10,9.26,RU,1696279882
125,nizhnesortymskiy,62.4397,71.7603,49.5,87,91,17.16,RU,1696280153
126,nago,26.5881,127.9761,81.45,92,100,11.92,JP,1696280154
127,kidal,18.4411,1.4078,94.1,20,30,9.57,ML,1696280043
128,singkil,-7.9855,111.4161,70.74,92,91,4.36,ID,1696280155
129,nema,57.5067,50.5011,50.04,75,100,5.01,RU,1696280156
130,trairi,-3.2778,-39.2689,79.41,82,98,11.95,BR,1696280087
131,daru,-9.0763,143.2092,76.82,88,68,11.45,PG,1696280157
132,anka,12.1138,5.9243,75.9,88,100,5.82,NG,1696280158
133,puerto ayora,-0.7393,-90.3518,84.16,92,94,8.01,EC,1696280158
134,piracanjuba,-17.3028,-49.0167,82.36,51,42,6.96,BR,1696280159
135,constantia,44.1833,28.65,57.88,49,0,10.74,RO,1696280159
136,margaret river,-33.95,115.0667,54.73,67,89,15.28,AU,1696280161
137,kiruna,67.8557,20.2251,34.72,93,100,4.61,SE,1696280162
138,xilin hot,43.9667,116.0333,50.99,56,27,10.42,CN,1696280133
139,mermoz boabab,14.7065,-17.4758,83.98,84,0,6.91,SN,1696280163
140,long,18.0761,99.8326,75.25,98,63,0.83,TH,1696280164
141,petropavlovsk-kamchatsky,53.0452,158.6483,46.45,88,100,15.01,RU,1696280023
142,mejit,10.2753,170.8646,83.53,78,10,15.77,MH,1696280166
143,waliso,8.5333,37.9833,56.3,59,16,7.54,ET,1696280168
144,turochak,52.2576,87.1224,38.39,94,0,2.15,RU,1696280168
145,invercargill,-46.4,168.35,46.02,79,15,5.01,NZ,1696279872
146,ciudad lazaro cardenas,17.9583,-102.2,86.41,75,97,8.03,MX,1696280171
147,roma,43.2128,-75.4557,77.5,66,0,5.75,US,1696280104
148,fisterra,42.9049,-9.2629,69.03,93,100,9.8,ES,1696280173
149,virginia,37.5481,-77.4467,83.25,59,20,9.22,US,1696280173
150,hadibu,12.65,54.0333,80.31,83,6,3.31,YE,1696280174
151,vilyuysk,63.7553,121.6247,34.0,75,100,4.0,RU,1696280175
152,galle,6.0367,80.217,77.67,86,100,1.21,LK,1696280175
153,thunder bay,48.4001,-89.3168,84.11,45,75,8.05,CA,1696280159
154,bocanda,7.0626,-4.4995,74.66,97,100,4.29,CI,1696280176
155,vorgashor,67.5833,63.95,37.35,77,100,21.56,RU,1696280177
156,nicoya,10.1483,-85.452,85.62,74,96,2.98,CR,1696280177
157,pathein,16.7833,94.7333,75.27,96,100,3.24,MM,1696280178
158,nantucket,41.2835,-70.0995,66.34,81,0,20.71,US,1696280179
159,tshabong,-26.05,22.45,76.66,28,0,19.66,BW,1696280179
160,dzilam gonzalez,21.2833,-88.9333,88.74,60,47,9.42,MX,1696280180
161,acapulco de juarez,16.8634,-99.8901,89.42,70,75,6.91,MX,1696279939
162,monument,39.0917,-104.8728,75.02,37,75,18.41,US,1696280181
163,la passe,45.5549,-0.8967,73.63,92,7,9.69,FR,1696280182
164,xai-xai,-25.0519,33.6442,63.43,66,0,5.28,MZ,1696280182
165,hailar,49.2,119.7,49.32,50,100,4.54,CN,1696280183
166,terrace,54.5163,-128.6035,57.22,93,75,2.3,CA,1696280183
167,west bay,19.3667,-81.4167,91.06,74,40,9.22,KY,1696280184
168,coquimbo,-29.9533,-71.3436,62.33,59,20,13.8,CL,1696280185
169,mount pearl,47.5166,-52.7813,56.32,86,20,3.44,CA,1696280185
170,palikir - national government center,6.9248,158.1611,75.94,88,40,3.44,FM,1696280186
171,revda,56.801,59.9303,51.21,82,100,8.66,RU,1696279956
172,kavalerovo,44.2661,135.0572,42.4,94,3,5.01,RU,1696280187
173,vila franca do campo,37.7167,-25.4333,68.41,99,83,9.84,PT,1696280188
174,rongelap,11.1635,166.8941,84.27,76,100,13.76,MH,1696280189
175,ilha de mocambique,-15.0342,40.7358,77.94,80,0,15.23,MZ,1696280189
176,berriane,32.8265,3.7669,76.01,41,0,7.9,DZ,1696280190
177,port alfred,-33.5906,26.891,61.18,91,0,11.18,ZA,1696280190
178,kyren,51.6828,102.1408,38.95,79,71,1.99,RU,1696280191
179,haiku-pauwela,20.9219,-156.3051,85.17,59,20,5.01,US,1696280191
180,weno,7.4515,151.8468,78.75,94,100,0.0,FM,1696280192
181,santa rita,-7.1139,-34.9781,81.27,74,75,11.5,BR,1696280192
182,lata,40.1629,-8.3327,67.91,91,0,2.44,PT,1696280193
183,stanley,54.868,-1.6985,50.79,93,100,4.14,GB,1696280194
184,shiyan,32.6475,110.7781,59.14,93,92,1.99,CN,1696280194
185,susuman,62.7833,148.1667,28.98,82,8,3.0,RU,1696280195
186,tura,25.5198,90.2201,74.03,97,100,5.91,IN,1696280195
187,cabedelo,-6.9811,-34.8339,81.27,77,35,10.78,BR,1696279946
188,pauini,-7.7136,-66.9764,97.81,34,100,4.29,BR,1696280197
189,manokwari,-0.8667,134.0833,77.94,82,100,2.93,ID,1696280026
190,anna regina,7.2644,-58.5077,83.84,76,65,11.23,GY,1696280198
191,banamba,13.55,-7.45,79.05,66,91,9.8,ML,1696280198
192,mitu,1.1983,-70.1733,86.83,61,94,3.58,CO,1696280199
193,panaba,21.2833,-88.2667,89.65,57,82,13.44,MX,1696280199
194,hexham,54.9699,-2.104,53.74,90,100,5.1,GB,1696280200
195,sitka,57.0531,-135.33,53.49,82,100,4.61,US,1696280200
196,prince albert,53.2001,-105.7677,44.55,100,100,16.11,CA,1696280201
197,nagqu,31.5,92.0,37.26,88,100,4.07,CN,1696280201
198,choibalsan,48.0667,114.5,41.9,49,100,14.14,MN,1696280202
199,mitsamiouli,-11.3847,43.2844,78.24,77,3,3.22,KM,1696280203
200,oranjemund,-28.55,16.4333,61.02,79,0,3.98,NA,1696280203
201,bin yauri,10.7823,4.8114,76.68,90,100,4.07,NG,1696280204
202,cooper's town,26.8667,-77.5167,81.05,70,95,19.89,BS,1696280204
203,gebeit,21.0667,36.3167,81.97,52,0,6.4,SD,1696280205
204,pizarro,4.9533,-77.366,81.39,84,100,8.1,CO,1696280206
205,porto novo,6.4965,2.6036,80.42,86,63,5.93,BJ,1696280207
206,clodomira,-27.5744,-64.1311,95.07,19,0,16.62,AR,1696280208
207,berezovyy,51.6667,135.7,42.48,91,95,1.97,RU,1696280208
208,christchurch,-43.5333,172.6333,46.9,79,100,12.66,NZ,1696280035
209,tan-tan,28.438,-11.1032,79.38,40,0,10.63,MA,1696280209
210,lebu,-37.6167,-73.65,50.49,81,99,10.56,CL,1696280210
211,paracuru,-3.41,-39.0306,81.1,81,100,13.13,BR,1696280210
212,bardai,11.65,7.2333,71.51,89,95,6.62,NG,1696280211
213,gospic,44.5461,15.3747,53.29,74,7,3.04,HR,1696280211
214,cam ranh,11.9214,109.1591,78.76,94,40,3.44,VN,1696280212
215,santa cruz,-17.8,-63.1667,94.46,40,20,21.85,BO,1696280212
216,ustyuzhna,58.8394,36.4321,47.95,86,98,2.19,RU,1696280213
217,sinabang,2.4803,96.3801,79.47,79,99,10.94,ID,1696280213
218,saipan,15.1355,145.701,83.1,83,40,10.36,MP,1696280214
219,sidrolandia,-20.9319,-54.9614,91.71,36,72,4.79,BR,1696280215
220,andirin,37.5776,36.3549,58.01,80,94,1.95,TR,1696280216
221,monze,-16.2833,27.4833,73.78,49,2,10.63,ZM,1696280216
222,rudbar,30.15,62.6,74.35,15,0,1.74,AF,1696280217
223,dudinka,69.4058,86.1778,29.62,96,100,23.0,RU,1696280217
224,novodvinsk,64.4165,40.8122,37.78,84,34,4.25,RU,1696280218
225,brandon,27.9378,-82.2859,89.51,66,100,13.0,US,1696279992
226,ola,59.5833,151.2833,43.41,77,62,9.19,RU,1696280219
227,kailua-kona,19.6406,-155.9956,86.27,76,40,10.36,US,1696280147
228,urraween,-25.3,152.8167,69.98,70,15,9.69,AU,1696280220
229,iquique,-20.2208,-70.1431,66.24,79,85,8.48,CL,1696280220
230,new norfolk,-42.7826,147.0587,57.7,84,100,4.25,AU,1696280221
231,renukut,24.2,83.0333,73.78,99,100,8.25,IN,1696280221
232,thompson,55.7435,-97.8558,44.76,81,100,6.91,CA,1696280222
233,verkhovazh'ye,60.7472,42.0465,47.14,90,100,2.98,RU,1696280222
234,sheringham,52.9408,1.2093,62.2,96,100,10.22,GB,1696280223
235,egilsstadir,65.2653,-14.3948,42.71,93,100,18.41,IS,1696280224
236,san julian,21.0167,-102.1667,80.83,25,94,2.86,MX,1696280225
237,carnarvon,-24.8667,113.6333,60.26,64,0,24.85,AU,1696280225
238,kiunga,-6.1219,141.2906,74.01,99,100,0.29,PG,1696280226
239,saint-joseph,-21.3667,55.6167,70.18,83,27,2.28,RE,1696280227
240,villiers,-27.0303,28.6006,60.82,50,0,3.94,ZA,1696280227
241,beira,-19.8436,34.8389,71.69,78,40,13.0,MZ,1696279990
242,suwayr,30.1171,40.3893,81.54,32,79,9.57,SA,1696280228
243,mount isa,-20.7333,139.5,56.97,54,8,3.44,AU,1696280229
244,arapgir,39.0412,38.4952,58.53,75,100,6.6,TR,1696280230
245,tocache,-8.1842,-76.5125,92.39,42,69,3.29,PE,1696280231
246,arak,34.0917,49.6892,61.23,51,20,5.48,IR,1696280232
247,sydney,-33.8679,151.2073,67.37,79,0,10.36,AU,1696280196
248,hermanus,-34.4187,19.2345,59.81,80,0,2.59,ZA,1696280234
249,nieuw amsterdam,5.8833,-55.0833,97.14,63,40,2.3,SR,1696280234
250,teyateyaneng,-29.1472,27.7489,59.43,35,0,5.03,LS,1696280235
251,tafuna,-14.3358,-170.72,80.2,82,99,26.35,AS,1696280235
252,bonadelle ranchos-madera ranchos,36.9847,-119.8746,78.57,39,5,6.31,US,1696280236
253,eureka,40.8021,-124.1637,69.21,71,97,1.99,US,1696280237
254,banda aceh,5.5577,95.3222,79.29,84,100,13.67,ID,1696280237
255,sanctuary point,-35.1114,150.629,67.98,65,70,6.6,AU,1696280238
256,detroit lakes,46.8172,-95.8453,87.85,44,0,13.8,US,1696280238
257,pacific grove,36.6177,-121.9166,73.38,75,0,5.99,US,1696280239
258,utena,55.5,25.6,53.55,83,100,8.57,LT,1696280239
259,bulgan,48.8125,103.5347,36.84,89,60,2.06,MN,1696280240
260,konarka,19.9,86.1167,79.2,89,98,8.48,IN,1696280240
261,sarpang,26.864,90.2674,74.89,95,99,3.33,BT,1696280241
262,tangalle,6.024,80.7911,76.59,88,100,5.99,LK,1696280242
263,portland,45.5234,-122.6762,59.74,84,100,8.99,US,1696279990
